CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"21,039","11,768","1,58,199",27.24,6.15,-2.50,650,6.10,6.15,325,"24,400.00",65,"1,607.55","1,651.85",130,-341.85,"1,661.90",-,770,-37,"4,583",
,"8,548","5,348","78,206",27.36,5.40,-3.00,780,5.40,5.50,650,"24,450.00",65,"1,677.85","1,774.80",65,382.95,"1,558.95",-,2,-,"1,638",
,"91,091","35,019","4,35,639",27.41,4.65,-3.15,130,4.55,4.65,"2,405","24,500.00",65,"1,729.95","1,750.10",65,-379.05,"1,762.95",-,569,-61,"14,578",
,"17,469","3,466","80,153",27.55,4.10,-3.30,325,4.15,4.20,845,"24,550.00",65,"1,758.85","1,858.35",65,-309.15,"1,650.85",-,3,-1,"21,555",
,"34,239","12,798","1,77,779",27.57,3.50,-3.15,"3,445",3.45,3.60,"2,600","24,600.00",65,"1,828.00","1,893.25",780,-356.95,"1,859.95",-,26,-2,"13,120",
,"10,966","9,713","71,547",27.85,3.20,-3.20,"2,210",3.15,3.25,"1,495","24,650.00",390,"1,852.35","1,921.25",65,-339.05,"1,943.00",34.33,7,-4,"25,216",
,"36,545","13,234","2,01,026",27.83,2.70,-3.25,"1,755",2.65,2.70,"12,155","24,700.00",65,"1,926.55","2,004.40",780,-437.80,"1,840.00",-,4,-,"18,001",
,"18,850","7,191","78,674",28.08,2.45,-3.15,"1,755",2.45,2.55,"2,925","24,750.00",65,"1,952.95","2,063.30",780,-,-,31.05,-,-,"9,001",
,"23,760","12,273","1,79,326",28.51,2.35,-2.95,"1,755",2.30,2.35,"1,690","24,800.00",780,"1,989.85","2,092.35","1,170",-367.25,"2,061.00",-,54,-7,"2,202",
,"9,551","1,690","72,427",28.92,2.25,-2.80,65,2.20,2.25,"1,235","24,850.00",780,"1,892.60","2,173.95","1,105",-,-,-,-,-,13,
,"10,351","4,496","1,05,391",29.17,2.05,-2.60,"3,120",1.95,2.05,"1,820","24,900.00",65,"2,122.55","2,162.80",130,-285.80,"2,198.35",40.32,149,2,252,
,"2,362","1,804","35,123",29.55,1.95,-2.35,"2,470",1.90,2.00,"2,340","24,950.00",780,"2,148.75","2,261.35",780,-226.85,"2,203.15",-,1,-,20,
